pais,provincia,departamento,cultivo,campaña,sup_sembrada,sup_cosechada,produccion ,rendimiento
Argentina,Buenos Aires,25 de Mayo,Ajo,1969/1970,3,3,10,3333
Argentina,Buenos Aires,Adolfo Gonzales Chaves,Ajo,1969/1970,15,15,82,5467
Argentina,Buenos Aires,Alberti,Ajo,1969/1970,5,5,7,1400
Argentina,Buenos Aires,Almirante Brown,Ajo,1969/1970,2,2,8,4000
Argentina,Buenos Aires,Arrecifes,Ajo,1969/1970,6,6,15,2500
Argentina,Buenos Aires,Ayacucho,Ajo,1969/1970,5,5,14,2800
Argentina,Buenos Aires,Bahia Blanca,Ajo,1969/1970,10,10,40,4000
Argentina,Buenos Aires,Balcarce,Ajo,1969/1970,450,450,2025,4500
Argentina,Buenos Aires,Baradero,Ajo,1969/1970,5,5,20,4000
Argentina,Buenos Aires,Benito Juarez,Ajo,1969/1970,5,5,22,4400
Argentina,Buenos Aires,Berazategui,Ajo,1969/1970,3,3,12,4000
Argentina,Buenos Aires,Berisso,Ajo,1969/1970,2,2,8,4000
Argentina,Buenos Aires,Bolivar,Ajo,1969/1970,2,2,6,3000
Argentina,Buenos Aires,Brandsen,Ajo,1969/1970,1,1,3,3000
Argentina,Buenos Aires,Campana,Ajo,1969/1970,5,5,21,4200
Argentina,Buenos Aires,Canuelas,Ajo,1969/1970,2,2,7,3500
Argentina,Buenos Aires,Capitan Sarmiento,Ajo,1969/1970,3,3,7,2333
Argentina,Buenos Aires,Carmen de Areco,Ajo,1969/1970,5,5,6,1200
Argentina,Buenos Aires,Castelli,Ajo,1969/1970,1,1,3,3000
Argentina,Buenos Aires,Chacabuco,Ajo,1969/1970,7,7,18,2571
Argentina,Buenos Aires,Chascomus,Ajo,1969/1970,1,1,3,3000
Argentina,Buenos Aires,Chivilcoy,Ajo,1969/1970,30,30,45,1500
Argentina,Buenos Aires,Colon,Ajo,1969/1970,5,5,12,2400
Argentina,Buenos Aires,Coronel de Marina L Rosales,Ajo,1969/1970,5,5,20,4000
Argentina,Buenos Aires,Coronel Dorrego,Ajo,1969/1970,15,15,83,5533
Argentina,Buenos Aires,Coronel Pringles,Ajo,1969/1970,15,15,75,5000
Argentina,Buenos Aires,Coronel Suarez,Ajo,1969/1970,2,2,8,4000
Argentina,Buenos Aires,Dolores,Ajo,1969/1970,2,2,6,3000
Argentina,Buenos Aires,Esteban Echeverria,Ajo,1969/1970,3,3,12,4000
Argentina,Buenos Aires,Exaltacion de la Cruz,Ajo,1969/1970,1,1,4,4000
Argentina,Buenos Aires,Florencio Varela,Ajo,1969/1970,3,3,12,4000
Argentina,Buenos Aires,General Alvarado,Ajo,1969/1970,7,7,31,4429
Argentina,Buenos Aires,General Arenales,Ajo,1969/1970,2,2,4,2000
Argentina,Buenos Aires,General Belgrano,Ajo,1969/1970,1,1,4,4000
Argentina,Buenos Aires,General Juan Madariaga,Ajo,1969/1970,2,2,6,3000
Argentina,Buenos Aires,General la Madrid,Ajo,1969/1970,1,1,4,4000
Argentina,Buenos Aires,General Pueyrredon,Ajo,1969/1970,28,28,126,4500
Argentina,Buenos Aires,General Rodriguez,Ajo,1969/1970,10,10,42,4200
